,CNH,CNY,Basis
12/15/2022, 6.99 , ¥6.97 ,-0.0185
12/16/2022, 6.98 , ¥6.97 ,-0.0061
12/19/2022, 6.99 , ¥6.98 ,-0.0088
12/20/2022, 6.96 , ¥6.96 ,0.0007
12/21/2022, 6.99 , ¥6.98 ,-0.0046
12/22/2022, 7.01 , ¥6.98 ,-0.0256
12/23/2022, 7.00 , ¥6.99 ,-0.0162
12/26/2022, 6.97 , ¥6.96 ,-0.0137
12/27/2022, 6.97 , ¥6.96 ,-0.0077
12/28/2022, 6.99 , ¥6.98 ,-0.0174
12/29/2022, 6.97 , ¥6.96 ,-0.01
12/30/2022, 6.92 , ¥6.90 ,-0.0257
1/2/2023, 6.93 , ¥6.90 ,-0.0294
1/3/2023, 6.92 , ¥6.91 ,-0.0098
1/4/2023, 6.90 , ¥6.89 ,-0.0114
1/5/2023, 6.89 , ¥6.88 ,-0.011
1/6/2023, 6.83 , ¥6.84 ,0.0067
1/9/2023, 6.78 , ¥6.77 ,-0.0117
1/10/2023, 6.78 , ¥6.78 ,-0.007
1/11/2023, 6.77 , ¥6.77 ,0.0043
1/12/2023, 6.73 , ¥6.74 ,0.0114
1/13/2023, 6.71 , ¥6.70 ,-0.0059
1/16/2023, 6.74 , ¥6.73 ,-0.0103
1/17/2023, 6.77 , ¥6.77 ,0.0036
1/18/2023, 6.77 , ¥6.75 ,-0.0232
1/19/2023, 6.77 , ¥6.77 ,0.0037
1/20/2023, 6.78 , ¥6.78 ,0.001
1/23/2023, 6.78 , ¥6.78 ,0.0073
1/24/2023, 6.78 , ¥6.78 ,-0.0002
1/25/2023, 6.77 , ¥6.78 ,0.0122
1/26/2023, 6.73 , ¥6.78 ,0.048
1/27/2023, 6.76 , ¥6.78 ,0.0269
1/28/2023, 6.76 , ¥6.78 ,0.0269
1/30/2023, 6.76 , ¥6.75 ,-0.0081
1/31/2023, 6.76 , ¥6.75 ,-0.0016
2/1/2023, 6.72 , ¥6.74 ,0.0222
2/2/2023, 6.74 , ¥6.73 ,-0.0096
2/3/2023, 6.81 , ¥6.77 ,-0.0328
2/6/2023, 6.80 , ¥6.79 ,-0.0085
2/7/2023, 6.78 , ¥6.79 ,0.0084
2/8/2023, 6.80 , ¥6.79 ,-0.0078
2/9/2023, 6.80 , ¥6.78 ,-0.0169
2/10/2023, 6.82 , ¥6.81 ,-0.0156
2/13/2023, 6.82 , ¥6.82 ,-0.0017
2/14/2023, 6.84 , ¥6.83 ,-0.0108
2/15/2023, 6.86 , ¥6.85 ,-0.0106
2/16/2023, 6.87 , ¥6.86 ,-0.009
2/17/2023, 6.87 , ¥6.87 ,-0.0053
2/20/2023, 6.86 , ¥6.85 ,-0.004
2/21/2023, 6.89 , ¥6.87 ,-0.0217
2/22/2023, 6.90 , ¥6.89 ,-0.0141
2/23/2023, 6.92 , ¥6.91 ,-0.0098
2/24/2023, 6.98 , ¥6.95 ,-0.0256
